Conference,2018,2019,2020,2021,2022,2023
AACR,,,,,COMPO (1),
AACR 2023 Annual Meeting,,,,,,COMPO (1)
AACR Annual Meeting 2022,,,,,COMPO (1),
AACR Annual Meeting 2022 - Annual meeting of the American association for cancer research,,,,,COMPO (2),
AADIOS @ ACA 2018,GAIA (1),,,,,
AAEA 2020 - Annual Meeting of the Agricultural and Applied Economics Association,,,STATIFY (1),,,
AAG 2020 - Advances in Architectural Geometry,,,,GRAPHDECO (1) ANIMA (1),,
AAIC 2018 - Alzheimer's Association International Conference,ARAMIS (1),,,,,
AAIC 2019 - Alzheimer's Association International Conference,,VisAGeS (1) Empenn (1),,,,
AAIC 2023 — Alzheimer's Association International Conference,,,,,,ARAMIS (1)
AALTD 2020 - International Workshop on Advanced Analytics and Learning on Temporal Data,,,LACODAM (1),,,
AALTD 2021 - The 6th International Workshop on Advanced Analytics and Learning on Temporal Data,,,,LACODAM (1),,
AALTD'18 - 3nd ECML/PKDD Workshop on Advanced Analytics and Learning on Temporal Data,LinkMedia (1) LACODAM (1),,,,,
AAMAS 2018 - 17th International Conference on Autonomous Agents and MultiAgent Systems,GRAPHIK (3) POLARIS (1),,,,,
AAMAS 2018 - 17th International Conference on Autonomous Agents and Multiagent Systems - Demonstration,CHROMA (1),,,,,
AAMAS 2018 - 17th International Conference on Autonomous Agents and Multiagent Systems - Robotics Track,CHROMA (1),,,,,
AAMAS 2018 - the 17th International Conference on Autonomous Agents and Multiagent Systems,SEQUEL (1),,,,,
AAMAS 2018: 17th international conference on Autonomous Agents and Multiagent Systems,NEO (1),,,,,
AAMAS 2019 - 18th International Conference on Autonomous Agents and MultiAgent Systems,,GRAPHIK (2) SUMO (1),,,,
AAMAS 2019 - 18th International Conference on Autonomous Agents and Multiagent Systems,,WIMMICS (2),,,,
AAMAS 2020 - 19th ACM international conference on Autonomous Agents and Multi-Agent Systems,,,MOEX (1),,,
AAMAS 2020 - 19th International Conference on Autonomous Agents and Multi-Agent Systems,,,Scool (1),,,
AAMAS 2021 - 20th International Conference on Autonomous Agents and Multiagent Systems,,,,Scool (2) CHROMA (1),,
AAMAS 2022 - 21st ACM international conference on Autonomous Agents and Multi-Agent Systems,,,,,MOEX (1),
AAMAS 2023 - 22nd International Conference on Autonomous Agents and Multiagent Systems,,,,,,SUMO (1) LACODAM (1)
AAMAS 2023 - International Conference on Autonomous Agents and Multiagent Systems,,,,,,POLARIS (1)
AARC 2023 annual meeting,,,,,,COMPO (1)
ABC-WIN Seminar,,,,,TANGRAM (1),
"ABZ 2018 - 6th International Conference on Abstract State Machines, Alloy, B, TLA, VDM, and Z",VERIDIS (1),,,,,
ACAPS 2019 - 18ème congrès de l'Association des Chercheurs en Activités Physiques et Sportives,,MIMETIC (1) RAINBOW (1),,,,
ACAT 2021 - 20th International Workshop on Advanced Computing and Analysis Techniques in Physics Research,,,,,,BENAGIL (1)
ACC - 2023 American Control Conference,,,,,,BIOCORE (1)
ACC 2018 - American Control Conference,DISCO (3) SPHINX (1) NON-A-POST (1) BIOCORE (1) MAMBA (1),,,,,
ACC 2018 - Annual American Control Conference,FLUMINANCE (1),,,,,
ACC 2018 - The 2018 American Control Conference,McTAO (1),,,,,
ACC 2019 - American Control Conference,,DISCO (3),,,,
ACC 2020 -  American Control Conference,,,DISCO (1),,,
ACC 2020 - American Control Conference,,,DISCO (3) DYOGENE (2) NECS-POST (1),,,
ACC 2021 - American Control Conference,,,BIOCORE (2) ANGE (2),VERIDIS (1) DISCO (1) ASTRAL (1),,
ACC 2023 - American Control Conference,,,,,,VALSE (1) BIOCORE (1)
ACCV,MANAO (1),,,,,
ACCV - Asian Conference on Computer Vision,,,,MORPHEO (1),,
ACCV 2018 - 14th Asian Conference on Computer Vision,MIMESIS (1),,,,,
ACCV 2018 - Asian Conference on Computer Vision,LinkMedia (1),,,,,
ACCV 2020 - 15th Asian Conference on Computer Vision,,,RAINBOW (1),,,
ACCV 2020 - The 15th Asian Conference on Computer Vision,,,LACODAM (1),,,
ACDA 2021 - SIAM Conference on Applied and Computational Discrete Algorithms,,,,ROMA (1),,
ACHI 2018 - Eleventh International Conference on Advances in Computer-Human Interactions,LARSEN (1),,,,,
ACIIDS 13th Asian Conference Intelligent Information and Database Systems,,,,BONUS (1),,
ACISP 2021 - Australasian Conference on Information Security and Privacy,,,,ARIC (1),,
ACISP 2021 - The 26th Australasian Conference on Information Security and Privacy,,,,GRACE (1),,
ACISP 2023 - 28th Australasian Conference on Information Security and Privacy,,,,,,CAPSULE (1)
ACL - 56th Annual Meeting of the Association for Computational Linguistics,Thoth (1),,,,,
ACL 2018 - 56th Annual Meeting of the Association for Computational Linguistics,MAGNET (1),,,,,
ACL 2019 - 57th Annual Meeting of the Association for Computational Linguistics,,WIMMICS (1) ALMAnaCH (1) CoML (1),,,,
ACL 2020 -  58th Annual Meeting of the Association for Computational Linguistics,,,ALMAnaCH (1),,,
ACL 2020 - 58th Annual Meeting of the Association for Computational Linguistics,,,ALMAnaCH (4),,,
ACL 2020 - 8th annual meeting of the Association for Computational Linguistics,,,CoML (1),,,
ACL 2021 - 59th Annual Meeting of the Association for Computational Linguistics,,,,CoML (1),,
ACL 2022 - 60th Annual Meeting of the Association for Computational Linguistics,,,,,CoML (2) SEMAGRAMME (1) SODA (1),
ACL 2022 - 60th meeting Association for Computational Linguistics Findings,,,,,MULTISPEECH (1),
ACL 2022 - Association for Computational Linguistics,,,,,CoML (1),
ACL 2022 - Findings of the Association for Computational Linguistics,,,,,ALMAnaCH (1),
ACL 2023 - 61st Annual Meeting of the Association for Computational Linguistics,,,,,,WIMMICS (1) ALMAnaCH (1) CoML (1) ZENITH (1)
ACL 2023 - The 61st Annual Meeting of the Association for Computational Linguistics,,,,,,Mnemosyne (1)
ACL-IJCNLP 2021 - Findings of the Association for Computational Linguistics,,,,ALMAnaCH (1),,
ACL-IJCNLP 2021 - Joint Conference of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing,,,,CEDAR (1),,
ACM 2019 - 10th Multimedia Systems Conference,,TITANE (1),,,,
ACM 2019 - 12th Creativity and Cognition Conference,,EX-SITU (1),,,,
ACM ASIACCS 2021 - 16th ACM ASIA Conference on Computer and Communications Security,,,,PRIVATICS (1),,
ACM CCS 2018,CASCADE (1),,,,,
ACM CCS 2018 - 25th ACM Conference on Computer and Communications Security,PESTO (2),,,,,
ACM CCS 2019 - 26th ACM Conference on Computer and Communications Security,,MARELLE (1) CASCADE (1) STAMP (1),,,,
ACM CCS 2020,,,PESTO (1) PETRUS (1),,,
ACM CCS 2021 -  ACM SIGSAC Conference on Computer and Communications Security,,,,STAMP (1),,
ACM CCS 2023 - Conference on Computer and Communications Security,,,,,,PETRUS (1)
ACM CCS- Computer and Communications Security 2022,,,,,CASCADE (1),
ACM CHI Conference on Human Factors in Computing Systems - Extended Abstracts (Late Breaking Work),Potioc (1),,,,,
ACM Chants 2018 - 13th Workshop on Challenged Networks,INFINE (1),,,,,
ACM CoNEXT 2019 Student Workshop Program - 15th International Conference on emerging Networking EXperiments and Technologies,,TRiBE (1),,,,
ACM Conference on Computer and Communications Security (ACM-CCS) 2022,,,,,ARIC (1),
ACM Conference on Embedded Networked Sensor Systems (SenSys),,,,,,AIO (1)
ACM Conference on Human Factors in Computing Systems (CHI ’22),,,,,Potioc (1) EX-SITU (1),
ACM Designing Interactive Systems,,EX-SITU (1),,,,
ACM IMC 2023 - Internet Measurement Conference 2023,,,,,,CEDAR (1)
ACM ISS 2022 - ACM Interactive Surfaces and Spaces Conference,,,,,ILDA (1),
ACM ISS’19 - ACM International Conference on Interactive Surfaces and Spaces,,Potioc (1),,,,
ACM International Conference on Information and Knowledge Management (CIKM 2021),,,,CEDAR (1),,
ACM International Conference on Mobile Human-Computer Interaction (MobileHCI 2023),,,,,,LOKI (2)
ACM International Conference on Multimedia Systems (MMSys),MAASAI (1),,,,,
ACM MMSys 2022 - 13th ACM Multimedia Systems Conference,,,,,WIMMICS (1) BIOVISION (1),
ACM MobiArch 2020 - 15th Workshop on Mobility in the Evolving Internet Architecture,,,TRiBE (1),,,
ACM MobiWac 2019 - 17th ACM International Symposium on Mobility Management and Wireless Access,,TRiBE (1),,,,
ACM Multimedia 2022 Computational Paralinguistics Challenge (ComParE),,,,,MULTISPEECH (1),
ACM Multimedia Conference 2020,,,LinkMedia (1),,,
ACM NanoCom 2019 - 6th ACM International Conference on Nanoscale Computing and Communication,,FUN (1),,,,
ACM PE-WASUN,,,DANTE (1),,,
ACM SIGCOMM 2018 Workshop on Traffic Measurements for Cybersecurity (WTMC 2018),MIMOVE (1),,,,,
"ACM SIGGRAPH Conference on Motion, Interaction and Games (ACM MIG)",,,,,,ROBOTLEARN (1)
ACM SIGGRAPH Courses,Mnemosyne (1),,,,,
ACM SIGMETRICS 2018,POLARIS (1),,,,,
ACM SIGMOD 2021 - International Conference on Management of Data,,,,CEDAR (1),,
ACM SIGMOD International Conference on Management of Data,,,EX-SITU (1) ILDA (1),,,
ACM SIGMOD International Conference on Management of Data (SIGMOD),,,,,,VALDA (1)
ACM SIGPLAN Workshop on ML 2022 - ML Family Workshop,,,,,CAMBIUM (1) PARTOUT (1),
ACM SIGSPATIAL 2020 - 28th ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems,,,TRiBE (1),,,
ACM SIGSPATIAL 2021,,,,TRiBE (1),,
ACM SOSR 2019 - Symposium on SDN Research,,DIANA (1),,,,
ACM Sigmetrics,DANTE (1),,,,,
ACM Symposium on Applied Computing,,,,,GRACE (1) CAPSULE (1),
ACM Symposium on Parallelism in Algorithms and Architectures,,,,,HiePACS (1),
ACM Symposium on Principles of Distributed Computing (PODC'18),MEXICO (1),,,,,
ACM Symposium on User Interface Software and Technology (UIST 2020),,,LOKI (1),,,
ACM Symposium on User Interface Software and Technology (UIST 2021),,,,LOKI (1),,
ACM Web Conference 2022,,,,,SPIRALS (1),
"ACM WiNTECH 2018 - 12th ACM International Workshop on Wireless Network Testbeds, Experimental evaluation & CHaracterization",DIANA (1) MIMOVE (1),,,,,
ACM-ICN'18 - 5th ACM Conference on Information-Centric Networking,RESIST (1),,,,,
ACM-SIAM Symposium on Discrete Algorithms,COATI (1),,,,,
ACM/IEEE LICS 2020 - 35th Annual Symposium on Logic in Computer Science,,,PESTO (1),,,
ACM/IFIP Middleware 2020 - Annual ACM/IFIP Middleware conference,,,WIDE (1),,,
ACM/IFIP/USENIX Middleware conference,MIMOVE (1),,,,,
"ACML 2019, Proceedings of Machine Learning Research",,SEQUEL (1) MAGNET (1),,,,
ACML 2020 - 12th Asian Conference on Machine Learning,,,SEQUEL (1),,,
ACML 2021 - 13th Asian Conference on Machine Learning,,,,STATIFY (1),,
"ACML 2021 - Proceedings of Machine Learning Research 157, 2021",,,,VALDA (1),,
ACML 2022 - 14th Asian Conference in Machine Learning,,,,,DATAMOVE (1),
ACMMM 2019 - 27th ACM International Conference on Multimedia,,PERCEPTION (1),,,,
ACNS 2018 - 16th International Conference on Applied Cryptography and Network Security,CASCADE (2) ARIC (1),,,,,
ACNS 2019 - 17th International Conference on Applied Cryptography and Network Security,,CASCADE (1),,,,
ACNS 2021 - 19th International Conference on Applied Cryptography and Network Security,,,,CARAMBA (1),,
ACNS 2022,,,,GRACE (1),,
ACNS 2022 - International Conference on Applied Cryptography and Network Security,,,,,GRACE (1) MAGNET (1) TRiBE (1),
ACNS 2023 - 21st International Conference on Applied Cryptography and Network Security,,,,,,CAPSULE (1)
ACNS2023 - 21st International Conference on Applied Cryptography and Network Security,,,,,,GRACE (1)
ACRI 2018 - 13th International Conference on Cellular Automata for Research and Industry,MOCQUA (1),,,,,
ACSAC 2019 - 35th Annual Computer Security Applications Conference,,CIDRE (1),,,,
ACSAC 2021 - Annual Computer Security Applications Conference,,,,TAMIS (1),,
ACSAC 2021 - Proceedings of Annual Computer Security Applications Conference,,,,CIDRE (1),,
ACSAC 2023 - Annual Computer Security Applications Conference,,,,,,DiverSe (1)
ACSD 2018 - 18th International Conference on Application of Concurrency to System Design,AOSTE2 (1),,,,,
ACSD 2019 - 19th International Conference on Application of Concurrency to System Design,,Parkas (1) KAIROS (1) AOSTE2 (1),,,,
ACSD' 2018 - 18th International Conference on Application of Concurrency to System Design,SUMO (1),,,,,
"ACSSC 2020 - 54th Asilomar Conference on Signals, Systems, and Computers",,,ARIC (1),,,
ACT 2020 - 3rd Applied Category Theory Conference,,,,PARTOUT (1),,
ACVR 2023 - Eleventh International Workshop on Assistive Computer Vision and Robotics,,,,,,STARS (1)
AD/PD 2019 - 14th International Conference on Alzheimer's and Parkinson's Diseases and related neurological disorders,,ARAMIS (1),,,,
AD/PD 2021 - 15thInternational Conference on Alzheimer’s and Parkinson’s Diseases and related neurological disorders,,,,ARAMIS (1),,
AD/PD 2021 - 15th​ International Conference on Alzheimer’s and Parkinson’s Diseases and related neurological disorders,,,,ARAMIS (1),,
"ADBIS 2018 - First International Workshop on Advances on Big Data Management, Analytics, Data Privacy and Security, BigDataMAPS 2018",PESTO (1),,,,,
ADBIS 2020 - 24th European Conference on Advances in Databases and Information Systems,,,CEDAR (1),,,
ADBIS 2022 - 26th European Conference on Advances in Databases and Information Systems,,,,,ZENITH (1),
ADBIS 2023 - 27th European Conference on Advances in Databases and Information Systems,,,,,,CEDAR (1)
ADC 2022 - Audio Developer Conference,,,,,WIMMICS (1),
ADCHEM 2021 - 16th IFAC Symposium on Advanced Control of Chemical Processes,,,,BIOCORE (1) ANGE (1),,
ADG 2023 - Automated Deduction in Geometry 2023,,,,,,STAMP (1)
ADHS 2021 - 7th IFAC Conference on Analysis and Design of Hybrid Systems,,,,BIOCORE (2) McTAO (1),,
ADMOS 2019 - International Conference on Adaptive Modeling and Simulation,,CARDAMOM (2),,,,
ADPRL 2020 - IEEE SSCI Conference on Adaptive Dynamic Programming and Reinforcement Learning,,,Scool (1),,,
ADVCOMP 2021 - 15th International Conference on Advanced Engineering Computing and Applications in Sciences,,,,AVALON (1) ROMA (1),,
AEQUITAS 2023 - First AEQUITAS Workshop on Fairness and Bias in AI | co-located with ECAI 2023,,,,,,TAU (1)
AERAP Africa-Europe Science Collaboration Platform,,,,MODAL (1),,
AERO 2020+1,,,,FLUMINANCE (1),,
AEiC 2022 - 26th Ada-Europe International Conference on Reliable Software Technologies,,,,,TARAN (1),
AFADL 2019 - 18e journées Approches Formelles dans l'Assistance au Développement de Logiciels,,TOCCATA (1),,,,
AFADL 2021 - 20èmes journées Approches Formelles dans l'Assistance au Développement de Logiciels,,,,TOCCATA (1),,
AFADL 2022 - 21ème journées Approches Formelles dans l'Assistance au Développement de Logiciels,,,,,CASH (1),
AFEP 2022 - 11ème Congrès de l’Association Française d’Économie Politique,,,,,STEEP (1),
AFIG 2021,,,,ANIMA (1),,
AFRICACRYPT 2020,,,CARAMBA (1),,,
AFRICACRYPT 2020 - 12th International Conference on Cryptology in Africa,,,ARIC (1),,,
AFRICACRYPT 2022 - 13th International Conference on Cryptology,,,,,GRACE (1) CARAMBA (1),
AFRICACRYPT 2022 - 13th International Conference on Cryptology in Africa,,,,,GRACE (1),
AFRICACRYPT 2023,,,,,,LFANT (1) CANARI (1)
AGU Fall Meeting,Magique 3D (2),,,,,
AGU Fall Meeting 2019,,Magique 3D (2),,,,
AGU Fall Meeting 2021,,,,MAKUTU (1),,
AGU Fall Meeting 2022 - Science Leads the Future,,,,,AIRSEA (1),
AGU Meeting 2018,Magique 3D (1),,,,,
AGU Ocean Sciences Meeting 2018,GeoStat (1),,,,,
AGU Ocean Sciences Meeting 2020,,,AIRSEA (1),,,
"AGU, Fall meeting 2020",,,AIRSEA (1),,,
AGU-SEG meeting 2021,,,,MAKUTU (1),,
AHFE - 11th Applied Human Factors and Ergonomics Conference,,,MIMETIC (2),,,
AHFE 2019 International Conference on Affective and Pleasurable Design,,AUCTUS (1),,,,
AHFE 2021 - 12th International Conference on Applied Human Factors and Ergonomics,,,,LARSEN (3),,
AHFE 2022 - 13th International Conference on Applied Human Factors and Ergonomics,,,,,LARSEN (2),
AHS 2018 - 12th NASA/ESA Conference on Adaptive Hardware and Systems,Mnemosyne (1),,,,,
AI 2021 - 34th Canadian Conference on Artificial Intelligence,,,,SUMO (1),,
AI 2021 - 41st BCS SGAI International Conference on Innovative Techniques and Applications of Artificial Intelligence,,,,GRAPHIK (2),,
AI 2023 - 43rd SGAI International Conference on Artificial Intelligence,,,,,,BOREAL (1)
AI BioSS,,,Lifeware (1),,,
AI and Defense 2019 - Artificial Intelligence and defense,,SUMO (1),,,,
AI for HR and  Public Employment Services,,,,,,TAU (2)
"AI in our teams, IRISA event",DIONYSOS (1),,,,,
AI-SEPS 2018 - 5th ACM SIGPLAN International Workshop on Artificial Intelligence and Empirical Methods for Software Engineering and Parallel Computing Systems,SOCRATE (1),,,,,
"AI-Science'18 - workshop on Autonomous Infrastructure for Science, in conjunction with the ACM HPDC 2018",DATAMOVE (1) BIOCORE (1) CTRL-A (1),,,,,
AI2SD 2022 -  International Conference on Advanced Intelligent Systems for Sustainable Development,,,,,LEMON (1),
AI4MAt  2023 - AI for   Accelerated Materials Design workshop at 37th Conference on Neural Information Processing Systems (NeurIPS 2023) - AI4MAt workshop,,,,,,OPIS (1)
AI4MAt 2023 -  workshop on AI for Accelerated Design of the 37th Conference on Neural Information Processing Systems (NeurIPS),,,,,,OPIS (1)
AI4Waves,,,,,BIOVISION (1),
AI: Artificial Intelligence,GRAPHIK (1),,,,,
AIAA AVIATION 2021 FORUM,,,,PLATON (1),,
AIAA AVIATION 2022 Forum,,,,,CARDAMOM (1),
AIAA AVIATION Forum,,FLUMINANCE (1),,,,
AIAA Aviation 2019 Forum,,CARDAMOM (1) GAMMA (1),,,,
AIAA Aviation 2020 Forum,,,ACUMES (1),,,
AIAA Aviation Forum,CARDAMOM (1),,,,,
AIAA Aviation and Aeronautics Forum and Exposition 2018,Gamma3 (1),,,,,
AIAA Fluid Dynamics Conference,,,,,GAMMA (1),
AIAA SCITECH 2022 - Forum,,,,,GAMMA (1),
AIAA SCITECH 2022 Forum,,,,GAMMA (1),CARDAMOM (1),
AIAA SciTech 2022 Forum,,,,,GAMMA (1),
AIAA Scitech 2019 Forum,,DeFI (1) BONUS (1),,,,
"AIAA Scitech 2019 Forum, 2019",,BONUS (1),,,,
AIAA Scitech 2021 Forum,,,,GAMMA (1),,
AIAA Scitech Forum - 3rd AIAA Sonic Boom Workshop,,,,GAMMA (1),,
AIAA Scitech Forum 2021,,,,GAMMA (1),,
AIAFS 2023 - 2nd AAAI Workshop on AI for Agriculture and Food Systems,,,,,,Scool (1)
AIAFS 2023 - Artificial Intelligence for Agriculture and Food Systems,,,,,,Scool (1)
AIC 2018 : 6th International Workshop on Artificial Intelligence and Cognition,Mnemosyne (1),,,,,
AIC 2020 - Association Internationale de la Couleur / Couleur Naturelles - Couleurs Numériques,,,MAVERICK (1),,,
AICCSA 2020 - 17th ACS/IEEE International Conference on Computer Systems and Applications,,,RESIST (1),,,
AICCSA 2020 - 17th IEEE/ACS International Conference on Computer Systems and Applications,,,LS2N - équipe STACK (2),,,
AICCSA 2022 - 19th ACS/IEEE International Conference on Computer Systems and Applications,,,,,MIMOVE (1),
AIDAA 2019 - XXV International congress of the Italian association of aeronautics and astronautics,,CARDAMOM (1),,,,
"AIES '19 - Proceedings of the 2019 AAAI/ACM Conference on AI, Ethics, and Society",,ORPAILLEUR (1),,,,
AIME 2019 - 17th Conference on Artificial Intelligence in Medicine,,LACODAM (1),,,,
AIME 2019 - 17th conference on artificial intelligence in medicine,,IMAGINE (1),,,,
AIME 2020 - International Conference on Artificial Intelligence in Medicine,,,TAU (1),,,
AIML 2022 - Advances in Modal Logic,,,,,PARTOUT (1),
AIMLAI 2021 - workshop on Advances in Interpretable Machine Learning and Artificial Intelligence,,,,SEMAGRAMME (1) ORPAILLEUR (1),,
AIMS South-Africa webinar,,,MODAL (1),,,
AINA 2018: 32nd International Conference on Advanced Information Networking and Applications,RITS (1),,,,,
AINA 2019 -  33rd International Conference on Advanced Information Networking and Applications,,,GANG (1) WIDE (1),,,
AINA 2019 - 33rd International Conference on Advanced Information Networking and Applications,,MYRIADS (1),,,,
AINA 2020 - 34th International Conference on Advanced Information Networking and Applications,,,FUN (1) AGORA (1),,,
AINA 2021 - 35th International Conference on Advanced Information Networking and Applications,,,,FUN (1) AGORA (1),,
AINA 2021: 35th International Conference on Advanced Information Networking and Applications,,,,LS2N - équipe STACK (1),,
AINA 2022. - International Conference on Advanced Information Networking and Applications,,,,,AIO (1),
AINA-2019 - Advanced Information Networking and Applications,,EVA (1),,,,
AINA-2021 - 35th International Conference on Advanced Information Networking and Applications,,,,EVA (1),,
AINA2020 - 34th International Conference on Advanced Information Networking and Applications,,,AGORA (1),,,
AINA2021 - 35th International Conference on Advanced Information Networking and Applications,,,,TRiBE (1),,
AIP 2019 - Applied Inverse Problem conference,,MULTISPEECH (1) PERCEPTION (1) MISTIS (1),,,,
AIP 2023 - 11th Applied Inverse Problems Conference,,,,,,MAKUTU (2)
AIPU 2020 - 31e Congrès de l’Association Internationale de Pédagogie Universitaire,,,WIMMICS (1),,,
AIPU22 - 32ème Congrès de l'Association Internationale de Pédagogie Universitaire,,,,,CAMUS (1),
AISOLA 2023 - Bridging the Gap Between AI and Reality,,,,,,CORSE (1)
AISTATS,MOKAPLAN (1),MODAL (1),,,,CELESTE (1)
AISTATS - 2023 - 26th International Conference on Artificial Intelligence and Statistics,,,,,,FAIRPLAY (1)
AISTATS 2018 -  22nd International Conference on Artificial Intelligence and Statistics,SIERRA (1),,,,,
AISTATS 2018 - 21st International Conference on Artificial Intelligence and Statistics,SEQUEL (1) MAGNET (1) Thoth (1),,,,,
AISTATS 2018 - 22nd International Conference on Artificial Intelligence and Statistics,SIERRA (2),,,,,
AISTATS 2019  - 22nd International Conference on Artificial Intelligence and Statistics,,DYOGENE (1) SIERRA (1),,,,
AISTATS 2019 -  22nd International Conference on Artificial Intelligence and Statistics,,SIERRA (1),,,,
AISTATS 2019 - 22nd International Conference on Artificial Intelligence and Statistics,,PARIETAL (2) DYOGENE (1) SIERRA (1) LACODAM (1),,,,
AISTATS 2020 - 23nd International Conference on Artificial Intelligence and Statistics,,,DANTE (1) PANAMA (1),,,
AISTATS 2020 - 23rd International Conference on Artificial Intelligence and Statistics,,,SIERRA (3) PARIETAL (1) BIGS (1) SEQUEL (1) MAGNET (1) DATASHAPE (1) NEO (1) MAASAI (1) Scool (1) Thoth (1),,,
AISTATS 2020 - International Conference on Artificial Intelligence and Statistics,,,PARIETAL (1) XPOP (1),,,
AISTATS 2020 - The 23rd International Conference on Artificial Intelligence and Statistics,,,MAGNET (1),,,
AISTATS 2020 : 23rd International Conference on Artificial Intelligence and Statistics,,,MATHERIALS (1) SIERRA (1),,,
AISTATS 2020: 23rd International Conference on Artificial Intelligence and Statistics,,,DYOGENE (1),,,
AISTATS 2021 - 24th International Conference on Artifi-cial Intelligence and Statistics,,,,SIERRA (1),,
AISTATS 2021 - 24th International Conference on Artificial Intelligence and Statistics,,,,DATASHAPE (2) PARIETAL (1) EPIONE (1) MAASAI (1),,
AISTATS 2021 - International Conference on Artificial Intelligence and Statistics,,,,VALDA (1),,
AISTATS 2021 - The 24th International Conference on Artificial Intelligence and Statistics,,,,MODAL (1),,
AISTATS 2022 - 25th International Conference on Artificial Intelligence and Statistics,,,,,SIERRA (2) ABS (1) MODAL (1) DATASHAPE (1) MAASAI (1) CELESTE (1) FAIRPLAY (1),
AISTATS 2023 - 26th International Conference on Artificial Intelligence and Statistics,,,,,MODAL (1) Thoth (1),SIERRA (1) Thoth (1) POLARIS (1) LinkMedia (1) SIMSMART (1)
AISTATS 2023 - International Conference on Artificial Intelligence and Statistics,,,,,,MAGNET (1) ZENITH (1)
AISTATS 2023 - The 26th International Conference on Artificial Intelligence and Statistics,,,,,,NEO (1)
AISTATS 2024 - 27th International Conference on Artificial Intelligence and Statistics,,,,,,STATIFY (1)
AISTATS'19 - 22nd International Conference on Artificial Intelligence and Statistics,,MOKAPLAN (1) SIERRA (1),,,,
AISTATS2020,,,PARIETAL (1),,,
AISec 2023 - 16th ACM Workshop on Artificial Intelligence and Security,,,,,,TARAN (1)
AITA 2023 - 17th International Workshop on Advanced Infrared Technology and Applications,,,,,,I4S (1)
AITP 2019 - 4th Conference on Artificial Intelligence and Theorem Proving,,VERIDIS (2),,,,
AITest 2022 - IEEE 4th International Conference On Artificial Intelligence Testing,,,,,CORSE (1),
AIVR 2019 - 2nd IEEE International Conference on Artificial Intelligence & Virtual Reality,,MIMETIC (1),,,,
AIVR 2021 - 4th IEEE International Conference on Artificial Intelligence and Virtual Reality,,,,Hybrid (1),,
AIVR 2021 - IEEE International Conference on Artificial Intelligence and Virtual Reality,,,,MAASAI (1),,
AIVR 2022 - 5th IEEE International Conference on Artificial Intelligence and Virtual Reality,,,,,VIRTUS (1),
AIxIA 2023  - 22nd International Conference of the Italian Association for Artificial Intelligence,,,,,,WIMMICS (1)
AIxIA 2023 –  XXIInd International Conference of the Italian Association for Artificial Intelligence,,,,,,MAASAI (1)
AJCAI 2023 - Australasian Joint Conference on Artificial Intelligence,,,,,,STATIFY (1)
ALCOS 2022 -14th IFAC Workshop on Adaptive and Learning Control Systems,,,,,I4S (1),
ALENEX 2019 - Algorithm Engineering and Experiments,,MOSAIC (1) MISTIS (1),,,,
ALENEX 2021 - SIAM Symposium on Algorithm Engineering and Experiments,,,,DATASHAPE (1),,
ALENEX 2022 -  SIAM Symposium on Algorithm Engineering and Experiments,,,,,COATI (1),
ALENEX20 - SIAM Symposium on Algorithm Engineering and Experiments,,,ROMA (1),,,
ALGO 2020 - 28th European Symposium on Algorithms,,,GAMBLE (1),,,
ALGORITMY 2020 - Conference on Scientific Computing,,,COFFEE (1) SERENA (1),,,
"ALGOS 2020 - 1st International Conference  on Algebras, Graphs and Ordered Sets",,,ORPAILLEUR (2) CAPSID (1),,,
"ALGOS 2020 - 1st International Conference on Algebras, Graphs and Ordered Sets",,,ORPAILLEUR (1) COATI (1),,,
ALGOTEL 2018 - 20èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,COATI (4) ABS (2) FUN (2) DELYS (2) SOCRATE (1) MIMOVE (1) AGORA (1) MARACAS (1),,,,,
ALGOTEL 2019 - 21èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,,DELYS (4) CIDRE (2) DIONYSOS (2) COATI (1) MIMOVE (1) WIDE (1),,,,
ALGOTEL 2020 – 22èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,,,COATI (6) DELYS (2) ABS (1) DIONYSOS (1) WIDE (1) TRiBE (1) GANG (1),,,
ALGOTEL 2021 - 23èmes Rencontres Francophones sur les Aspects Algorithmiques des Télécommunications,,,,COATI (5) TRiBE (1),,
ALIFE 2018 - the 2018 conference on artificial Life,BEAGLE (1),,,,,
ALIFE 2019 - Conference on Artificial Life,,BEAGLE (2),,,,
ALIFE 2020: The 2020 Conference on Artificial Life,,,WILLOW (1),,,
ALIFE 2021 - Conference on Artificial Life,,,,BEAGLE (2),,
ALIFE 2023 - The 2023 Conference on Artificial Life,,,,,,Flowers (1)
ALOE 2023 - Agent Learning in Open-Endedness workshop at NeurIPS 2023,,,,,,Flowers (1)
ALT 2018 - 29th International Conference on Algorithmic Learning Theory,MAGNET (1),,,,,
ALT 2018 - Algorithmic Learning Theory,SEQUEL (2),,,,,
ALT 2020 - 31st International Conference on Algorithmic Learning Theory,,,SEQUEL (1) Scool (1),,,
ALT 2021 -  32nd International Conference on Algorithmic Learning Theory,,,,VALDA (1),,
ALT 2022 - 33rd International Conference on Algorithmic Learning Theory,,,,,POLARIS (1) FAIRPLAY (1),
