Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);Unnamed: 34
SR0792FR;DATASHAPE;EP;;Cohen-steiner;David;01-10-2020;; (Non renseigné);Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/10/2020;31/12/2024;Comprendre la forme des données;Understanding the shape of data;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Algorithmique, calcul formel et cryptologie;Algorithmics, Computer Algebra and Cryptology;UNIV. PARIS-SACLAY, CNRS;Université Paris-Saclay, CNRS;INSMI;LMO [U. PARIS 11 (P.-SUD), CNRS];Laboratoire de mathématiques d'Orsay de l'Université de Paris-Sud (LMO);01/07/2017;31/12/2024;19/03/2019;201622050C;;12237-C, 14024-P, 14469-C, 14538-B, 16661-P, 17000-P;041153-1;Analyse Topologique des données, géométrie algorithmique, topologie algorithmique;Topological Data Analysis, computational geometry, computational topology;
SR0775SR;DATASPHERE;;principal;Grumbach;Stephane;01-01-2017;;Principal;Centre Inria de Lyon;Ecole normale supérieure de Lyon - Laboratoire Reproduction et développement des plantes ( RDP);Terminée;01/07/2020;;Economie des données et des plateformes;Economie des données et des plateformes;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Sécurité et confidentialité;Security and Confidentiality;;;;;;01/01/2017;01/07/2020;;201722257Y;;12019-C, 12878-P, 14360-F;071115-1;;;
SR0774GR;DEDUCTEAM;EP;principal;Blanqui;Frederic;01-06-2024;;Par intérim;Centre Inria de Saclay;ENS Paris-Saclay - Laboratoire Méthodes Formelles (LMF);Décision signée;01/01/2017;31/12/2024;DEDUCTEAM;DEDUCTEAM;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;UNIV. PARIS-SACLAY;Université Paris-Saclay;INS2I;LMF [LSV, LRI];Laboratoire de Méthodes Formelles;01/01/2017;31/12/2024;20/03/2019;201121007R;;12050-C, 14025-P, 16659-P, 16998-P, 17119-CR, 17120-N;111075-1;Système de traitement de démonstrations, interopérabilité, bibliothèques de résultats mathématiques;Proof processing systems, interoperability, libraries of proofs;
SR0227ER;DEFI;EP;principal;Haddar;Houssem;01-01-2009;;Principal;Centre Inria de Saclay;Ecole Polytechnique - Centre de Mathématiques Appliquées (CMAP);Terminée;31/07/2021;;Détermination de Formes Et Identification;Shape reconstruction and identification;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;;;INSMI;;;01/01/2009;31/07/2021;17/03/2009, 27/03/2013, 15/03/2017, 12/01/2022;200718999A;;6661-C, 6083-R, 9851-P, 12548-P, 14602-F, 14899-F;111021-1;;;
SR0798HR;DEFROST;EP;principal;Zheng;Gang;01-07-2024;;Principal;Centre Inria de l'Université de Lille;Centre Inria de l'Université de Lille;Décision signée;01/11/2017;31/12/2026;Logiciels pour robots déformables;DEFormable Robotics SofTware;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Robotique et environnements intelligents;Robotics and Smart environments;E. CENTRALE LILLE, CNRS, UNIVERSITE DE LILLE;Ecole Centrale de Lille, CNRS, Université de Lille;INS2I;CRISTAL [E. CENTRALE LILLE, U. LILLE 1 (USTL), U. LILLE 3 (UCDG), CNRS, INRIA];Centre de Recherche en Informatique, Signal et Automatique de Lille;01/11/2017;31/12/2026;12/01/2022;201521175F;;12449-C, 15192-P, 15856-P, 17195-CR, 17196-N;101049-1;;deformable robots, soft robots, robot simulation, contact modeling, control methods, real-time,;
SR0818MR;DELYS;Equipe;principal;Sens;Pierre;01-01-2018;31-12-2018;Principal;Centre Inria de Paris;Laboratoire d'Informatique de Paris 6 (LIP6);Terminée;01/02/2019;;Algorithmes pour systèmes distribués;DistributEd aLgorithms and sYStems;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Systèmes distribués et intergiciels;Distributed Systems and middleware;;;;;;01/01/2018;01/02/2019;;201822643N;;12573-C, 13326-P, 13381-F;;Algorithmes et systèmes répartis, Réplication de données et cohérence, Tolérance aux fautes, Machines virtuelles et multi-coeurs,  Réseaux dynamiques, Large échelle;Distibuted algorithms and systems, Data replication and consistency,  Fault Tolerance,  Large scale systems,  Virtual Machine and Multi-core,  Dynamic networks;
SR0865UR;DELYS;EP;principal;Sens;Pierre;01-01-2019;31-12-2022;Principal;Centre Inria de Paris;Sorbonne Université;Terminée;31/12/2022;;Algorithmes et systèmes distribués;DistributEd aLgorithms and sYStems;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Systèmes distribués et intergiciels;Distributed Systems and middleware;SORBONNE UNIVERSITE;Sorbonne Université;INS2I;LIP6 [UPMC, CNRS];Laboratoire d'informatique de Paris 6 (LIP6);01/01/2019;31/12/2022;07/10/2021;201822643N;;13332-C, 14890-P, 15700-P;021152-1;Algorithmes et systèmes répartis, Réplication de données et cohérence, Tolérance aux fautes, Machines virtuelles et multi-coeurs,  Réseaux dynamiques, Large échelle;Distibuted algorithms and systems, Data replication and consistency,  Fault Tolerance,  Large scale systems,  Virtual Machine and Multi-core,  Dynamic networks;
SR0953TR;DEVINE;EP;principal;Bertrand;Nathalie;01-01-2024;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/01/2024;31/12/2027;Vérification efficace pour des systèmes distribués fiables;DEpendable distributed systems: formal VerificatIoN made Efficient;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;CNRS;CNRS;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/01/2024;31/12/2027;;202424472A;;16635-C;031142-0;;;
SR0706LR;DIANA;EP;principal;Dabbous;Walid;01-07-2015;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/07/2015;31/12/2025;Conception, Mise en oeuvre et Analyse d'Architectures Réseau;Design, Implementation and Analysis of Networking Architectures;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Réseaux et télécommunications;Networks and Telecommunications;;;;;;01/07/2015;31/12/2025;23/03/2016, 17/03/2020;201321221P;;11060-C, 11955-P, 14583-P, 15179-P;041031-2;Protocoles Réseaux, Réseaux d'accès radio ouverts, Mesures, Reproductibilité, Cryptomonnaie;Network Protocols, Open radio access networks, Measurements, Reproducibility, Cryptocurrency;
SR0228NR;DIONYSOS;EP;principal;Tuffin;Bruno;01-01-2022;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Terminée;31/05/2022;;Analyse de sûreté de fonctionnement, d'interopérabilité et de performances de réseaux;Dependability Interoperability and perfOrmance aNalYsiS Of networkS;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Réseaux et télécommunications;Networks and Telecommunications;U. RENNES 1, IMT ATLANTIQUE;Université Rennes 1, Ecole Nationale Supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/01/2009;31/05/2022;21/03/2012, 23/03/2016, 17/03/2020;200919000T;;6669-C, 9107-P, 11955-P, 14583-P, 15181-P, 15189-CR, 15190-N, 15761-F;031076-1;réseaux, modélisation, QoS, QoE;networks, modeling, QoS, QoE;
SR0520MR;DISCO;EP;principal;Bonnet;Catherine;01-06-2024;;Principal;Centre Inria de Saclay;CentraleSupélec - Laboratoire des signaux et systèmes (L2S);Décision signée;01/06/2024;31/05/2028;Systèmes dynamiques interconnectés dans des environnements complexes;Dynamical Interconnected Systems: Control and Optimization;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation et contrôle de systèmes dynamiques;Optimization and control of dynamic systems;CNRS, UNIV. PARIS-SACLAY, CENTRALESUPELEC, CNRS;CNRS, Université Paris-Saclay, CentraleSupélec, CNRS;INS2I, INS2I;L2S [CENTRALESUPELEC, U. PARIS 11 (P.-SUD), CNRS], L2S [CENTRALESUPELEC, U. PARIS 11 (P.-SUD), CNRS];Laboratoire des signaux et systèmes (L2S), Laboratoire des signaux et systèmes (L2S);01/01/2012;31/05/2028;26/03/2013, 14/03/2017, 12/01/2022;201020959T;;8649-C, 9850-P, 12546-P, 15186-P, 15853-P, 16225-P, 16672-P, 17084-P, 17071-C;111054-1;Dynamiques, interconnexions, environnement, commande;Dynamics,interconnections, environment, control;
SR0651GR;DIVERSE;EP;principal;Barais;Olivier;01-09-2019;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/07/2014;30/06/2026;Diversity-centric Software Engineering;Diversity-centric Software Engineering;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Programmation distribuée et génie logiciel;Distributed programming and Software engineering;INSA RENNES, CNRS, U. RENNES;Institut national des sciences appliquées de Rennes, CNRS, Université de Rennes;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/07/2014;30/06/2026;11/10/2016, 07/10/2021;201422126U;;10350-C, 10429-M, 12276-P, 12311-N, 13069-N, 12309-CR, 13839-P, 13840-N, 14889-P, 15702-P;031111-1;Génie logiciel, Modélisation, Gestion de la variabilité, Diversité logiciel, Reconfiguration Logiciel, Ingénierie des langages, Web;software engineering, modeling, variability, diversity, adaptation, languages engineering;
SR0437HR;DRACULA;EP;principal;Adimy;Mostafa;01-01-2011;;Principal;Centre Inria de Lyon;Centre de recherche Inria de Lyon;Terminée;30/06/2024;;Modélisation multi-échelle des dynamiques cellulaires : application à l'hématopoïese;Multi-scale modelling of cell dynamics : application to hematopoiesis;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Modélisation et commande pour le vivant;Modeling and Control for Life Sciences;U. LYON 1 (UCBL), CNRS;Université Claude Bernard (Lyon 1), CNRS;INSMI;ICJ [];Institut Camille Jordan;01/01/2011;30/06/2024;15/10/2013, 12/10/2017, 15/05/2022;201020961V;;7588-C, 10209-P, 13241-P, 15196-P, 16556-P, 17027-P;121015-0;modélisation multi-échelle, physiologie, dynamiques cellulaires;multiscale modeling, physiology, cell dynamics;
SR0589KR;DYLISS;EP;principal;Dameron;Olivier;01-06-2019;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/07/2013;30/06/2025;Dynamics, Logics and Inference for biological Systems and Sequences;Dynamics, Logics and Inference for biological Systems and Sequences;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Biologie numérique;Computational Biology;CNRS, U. RENNES;CNRS, Université de Rennes;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/07/2013;30/06/2025;11/10/2017, 15/05/2022;201221035S;;9607-C, 13243-P, 13558-CR, 13560-N, 15193-P, 16554-P;031106-1;"Méthodes: logique et programmation par contraintes; dynamique symbolique; apprentissage; web sémantique. Applications: caractérisation fonctionnelle; espèce non-modèle; intégration multi-échelle.";"Methods: constraint logic programming; symbolic dynamics; machine learning. Applications: functional characterization; non-model species; multi-scale integration.";
SR0586FR;DYOGENE;EP;principal;Blaszczyszyn;Bartlomiej;01-07-2020;31-12-2023;Par intérim;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/07/2013;31/12/2024;Dynamics of Geometric Networks;Dynamics of Geometric Networks;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Réseaux et télécommunications;Networks and Telecommunications;ENS PSL, CNRS;Ecole normale supérieure de Paris, CNRS;INS2I;DI-ENS [CNRS, INRIA, ENS PSL];Département d'Informatique de l'Ecole Normale Supérieure;01/07/2013;31/12/2024;23/03/2016, 17/03/2020;201321099G;;9514-C, 11955-P, 12024-N, 14583-P, 15182-P, 15641-P, 15857-P, 17108-P;021123-1;;;
SR0811AR;EASE;Equipe;principal;Bonnin;Jean-marie;01-01-2018;31-12-2018;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Terminée;28/02/2019;;Enabling Affordable Smarter Environment;Enabling Affordable Smarter Environment;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Programmation distribuée et génie logiciel;Distributed programming and Software engineering;;;;;;01/01/2018;28/02/2019;;201822631A;;12475-C, 13405-P, 13406-F;031125-0;Informatique diffuse, Informatique pervasive, Systèmes d'Information Spatiaux, Systèmes Embarqués, RIFD, Capteurs, Service;Ambient Computing, Pervasive Computing, Spatial Information Systems, Embedded Systems, RFID, Sensors, Service;
SR0867KR;EASE;EP;principal;Bonnin;Jean-marie;01-03-2019;31-12-2022;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Terminée;31/12/2022;;Solutions pour des environnements intelligents abordables;Enabling Affordable Smarter Environment;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Programmation distribuée et génie logiciel;Distributed programming and Software engineering;U. RENNES 1, IMT ATLANTIQUE;Université Rennes 1, Ecole Nationale Supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/03/2019;31/12/2022;07/10/2021;201822631A;;13396-C, 14889-P, 15702-P;031125-1;Informatique diffuse, Informatique pervasive, Systèmes d'Information Spatiaux, Systèmes Embarqués, RIFD, Capteurs, Service;Ambient Computing, Pervasive Computing, Spatial Information Systems, Embedded Systems, RFID, Sensors, Service, Cooperative ITS, Smart Cities;
SR0600JR;ECUADOR;EP;principal;Hascoët;Laurent;01-01-2014;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/01/2014;31/01/2025;Transformations et outils informatiques pour le calcul scientifique;Program transformations for scientific computing;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;;;;;;01/01/2014;31/01/2025;15/03/2017, 12/01/2022;201421213B;;9688-C, 12548-P, 15187-P, 15855-P, 16224-P, 17243-P;041034-2;;;
SR0914KR;EDGE;EP;principal;Clautiaux;Francois;01-12-2021;;Principal;Centre Inria de l'université de Bordeaux;Centre Inria de l'université de Bordeaux;Décision signée;01/12/2021;01/12/2025;Formulations étendues et méthodes de décomposition pour des problèmes génériques d'optimisation;Extended formulations and Decomposition for Generic optimization problems;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;U. DE BORDEAUX, CNRS;Université de Bordeaux, CNRS;INSMI;IMB [CNRS, U. DE BORDEAUX, BORDEAUX INP];Institut de Mathématiques de Bordeaux (IMB);01/12/2021;01/12/2025;;202124188E;;15194-C;091070-0;recherche opérationnelle, programmation linéaire en nombres entiers, méthodes de décomposition, programmation dynamique;operations research, integer programming, decomposition methods, dynamic programming;
SR0797KR;ELAN;EP;principal;Descoubes;Florence;01-08-2019;;Principal;Centre Inria de l'Université Grenoble Alpes;Centre de recherche Inria de l'Université Grenoble Alpes;Décision signée;01/08/2019;31/12/2026;modELisation de l'Apparence des phe?nome?nes Non-line?aires;modELing the Appearance of Nonlinear phenomena;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Schémas et simulations numériques;Numerical schemes and simulations;;;INSMI;LJK [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)];Laboratoire Jean Kuntzmann (LJK);01/10/2017;31/12/2026;12/01/2022;201722615M;;12409-C, 13742-C, 15187-P, 15855-P, 16224-P;071132-0;Modélisation physique, simulation numérique, structures élastiques élancées, contact frottant, matériaux granulaires, problèmes de conception inverse, informatique graphique, mécanique numérique;Physical modeling, numerical simulation, slender elastic structures, frictional contact, granular matter, inverse design problems, computer graphics, discrete mechanics;
SR0915GR;EMERAUDE;EP;principal;Risset;Tanguy;01-03-2022;;Principal;Centre Inria de Lyon;Institut National des Sciences Appliquées Lyon - Laboratoire Center of Innovation in Telecommunications and Integration of service (CITI);Décision signée;01/03/2022;28/02/2026;Syste?mes Embarque?s audio programmables;EMbEdded pRogrammable AUDio systEms;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Architecture, langages et compilation;Architecture, Languages and Compilation;INSA LYON, GRAME;Institut national des sciences appliquées de Lyon, Générateur de Ressources et d?Activités Musicales Exploratoires;;CITI [INSA LYON];Centre d'innovation en télécommunications et intégration de services;01/03/2022;28/02/2026;;202224250T;;15349-C;121025-0;;;
SR0864QR;EMPENN;EP;principal;Maurel;Pierre;01-09-2020;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/01/2019;31/12/2027;Neuroimagerie: méthodes et applications;Neuroimaging: methods and applications;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;CNRS, INSERM, U. RENNES;CNRS, INSERM, Université de Rennes;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/01/2019;31/12/2027;15/05/2022;200518339S;;13331-C, 13597-N, 13719-N, 13825-N, 14113-N, 14264-?, 14409-N, 15197-P, 16555-P;031132-0;Biomarqueurs d'imagerie, Imagerie médicale, Imagerie de cohorte, Détection et apprentissage, Imagerie quantitative, Systèmes de gestion d'images en santé, Neuro-Imagerie, Interface cerveau-machine / Neurofeedback, Neurosciences cliniques (rééducation fonctionnelle, comportement, neuroinflammation, ...);Imaging Biomarkers, Medical Image Computing, Population Imaging, Detection and Learning, Quantitative Imaging, Managment systems in Health, Brain Imaging, Brain-Computer Interface / Neurofeedback, Clinical Neurosciences (Recovery, Behavior, Neuro-Inflammation, ?);
SR0922AR;EPICURE;EP;principal;Jensen;Thomas;01-06-2022;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/06/2022;31/05/2026;Analyse sémantique et compilation pour la sécurité des environnements d'exécution;Semantic analysis and compilation for secure execution environments;Algorithmique, programmation, logiciels et architectures;Algorithmics, Programming, Software and Architecture;Preuves et vérification;Proofs and Verification;U. RENNES;Université de Rennes;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/06/2022;31/05/2026;;202224278Y;;15425-C;031135-0;;;
SR0946HR;EPIMETHEE;EP;principal;Masson;Jean-baptiste;01-10-2023;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Décision signée;01/10/2023;30/09/2027;Approches expérimentales et numériques pour explorer le cerveau des insectes;Experimental and computational approaches to probe the mind of insects;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;INSTITUT PASTEUR, CNRS;Institut Pasteur, CNRS;INSB;;;01/10/2023;30/09/2027;;202324452H;;16503-C;021162-0;;;
SR0839UR;EPIONE;EP;principal;Ayache;Nicholas;01-05-2018;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/05/2018;31/12/2027;E-Patient : Images, données & mOdèles pour la médeciNe numériquE;E-Patient: Images, Data & MOdels for e-MediciNE;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Neurosciences et médecine numériques;Computational Neuroscience and Medicine;;;;;;01/05/2018;31/12/2027;15/05/2022;201822641L;;12840-C, 15197-P, 16555-P;041159-1;Analyse d'images biomédicales, Apprentissage automatique, Imagerie et Phénomique, Biostatistique, Anatomie computationnelle, Géométrie statistique, Physiologie computationnelle, Thérapie guidée par l'image, Cardiologie computationnelle, Cardiologie interventionnelle fondée sur l'image;Biomedical Image Analysis, Machine Learning, Imaging & Phenomics, Biostatistics, Computational Anatomy, Geometric Statistics, Computational Physiology, Image-Guided Therapy, Computational Cardiology, Image-Based Cardiac Intervention;
SR0704DR;ERABLE;EP;principal;Sagot;Marie-france;01-07-2015;;Principal;Centre Inria de Lyon;Université Claude Bernard Lyon 1 - Laboratoire de Biométrie et Biologie Évolutive (LBBE);Décision signée;01/07/2015;30/06/2027;Equipe de recherche européenne en algorithmique et biologie formelle et expérimentale;European Research team in Algorithms and Biology, formaL and Experimental;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Biologie numérique;Computational Biology;U. LYON 1 (UCBL), INSA LYON, CWI, U. LA SAPIENZA;Université Claude Bernard (Lyon 1), Institut national des sciences appliquées de Lyon, Centrum Wiskunde & Informatica, Université de Rome la Sapienza;INEE;LBBE [U. LYON 1 (UCBL), CNRS];Laboratoire de Biométrie et Biologie Evolutive (LBBE);01/07/2015;30/06/2027;11/10/2017, 15/05/2022;201521243E;;11064-C, 13243-P, 15193-P, 16554-P;121022-0;Algorithmes, biologie computationnelle;Algorithms, computational biology;
SR0923GR;ERMINE;EP;principal;Tuffin;Bruno;01-06-2022;;Principal;Centre Inria de l'Université de Rennes;Centre Inria de l'Université de Rennes;Décision signée;01/06/2022;31/05/2026;Gestion et mesures des opérations et de l'économie des réseaux;Measuring and Managing Network operation and economics;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Réseaux et télécommunications;Networks and Telecommunications;IMT ATLANTIQUE, U. RENNES, CNRS;Ecole Nationale Supérieure Mines-Télécom Atlantique Bretagne Pays de la Loire, Université de Rennes, CNRS;INS2I;IRISA [U. RENNES 1, CNRS, INRIA, INSA RENNES, CENTRALESUPELEC, ENS RENNES, INSTITUT MINES-TELECOM, UBS];Institut de recherche en informatique et systèmes aléatoires (IRISA);01/06/2022;31/05/2026;;202224279Z;;15426-C, 16801-M;031136-0;;;
SR0741KR;EVA;EP;principal;Mühlethaler;Paul;01-05-2016;;Principal;Centre Inria de Paris;Centre de recherche Inria de Paris;Terminée;28/02/2022;;Réseaux sans fil pour applications adaptatives et susceptibles d'évoluer;Wireless Networking for Evolving & Adaptive Applications;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Réseaux et télécommunications;Networks and Telecommunications;;;;;;01/05/2016;28/02/2022;17/03/2020;201521336F;;11563-C, 14583-P, 15183-P;021139-1;;;
SR0957AR;EVERGREEN;EP;principal;Ienco;Dino;01-01-2024;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/01/2024;31/12/2027;Observation de la terre et apprentissage machine pour les défis agro-environnementaux;Earth obserVation and machine lEarning foR aGRo-Environmental challENges;Santé, biologie et planète numériques;Digital Health, Biology and Earth;Sciences de la planète, de l'environnement et de l'énergie;Earth, Environmental and Energy Sciences;INRAE, CIRAD;INRAE, CIRAD;;TETIS [];Territoires, Environnement, Télédétection et Information Spatiale;01/01/2024;31/12/2027;;202424505L;;16723-C;041175-0;Télédétection, Observation de la Terre, Apprentissage automatique, Vision par ordinateur;Remote Sensing, Earth Observation, Machine Learning, Computer Vision;
SR0941IR;EVREF;EP;principal;Ducasse;Stephane;01-04-2023;;Principal;Centre Inria de l'Université de Lille;Centre Inria de l'Université de Lille;Décision signée;01/04/2023;31/03/2027;Évolution réflexive des systèmes logiciels éternels;Reflective Evolution of Ever-running Software Systems;Réseaux, systèmes et services, calcul distribué;Networks, Systems and Services, Distributed Computing;Programmation distribuée et génie logiciel;Distributed programming and Software engineering;UNIVERSITE DE LILLE, BERGER-LEVRAULT;Université de Lille, Berger-Levrault;INS2I;CRISTAL [E. CENTRALE LILLE, U. LILLE 1 (USTL), U. LILLE 3 (UCDG), CNRS, INRIA];Centre de Recherche en Informatique, Signal et Automatique de Lille;01/04/2023;31/03/2027;;202324397Y;;16094-C;101065-0;"évolution logicielle ; analyses ; maintenance ; migration ; langages dynamiquement typés ;  Pharo ; virtuelle machine ; reflection ; conception de langage";"software evolution; analysis; maintenance; migration; dynamically typed languages; Pharo; virtual machine; reflection; language design";
SR0787TR;EX-SITU;EP;principal;Mackay;Wendy;01-07-2017;;Principal;Centre Inria de Saclay;UP Saclay - Laboratoire Interdisciplinaire des Sciences du Numérique Bât. 650 Ada Lovelace;Décision signée;01/07/2017;30/06/2028;Interaction Située Extrême;Extreme Situated Interaction;Perception, Cognition, Interaction;Perception, Cognition and Interaction;Interaction et visualisation;Interaction and visualization;CNRS, UNIV. PARIS-SACLAY;CNRS, Université Paris-Saclay;INS2I;LISN (MERGE PARTIEL LRI+LIMSI) [];Laboratoire Interdisciplinaire des Sciences du Numérique;01/07/2017;30/06/2028;03/10/2018;201521246H;;12249-C, 13729-P, 13919-M, 16222-P, 16986-P;111070-1;Interaction Homme-Machine, Ingénierie des systèmes interactifs, Evaluation des systèmes interactifs, Interfaces gestuelles, Interfaces tangibles, Interaction multimodale;Human-Computer Interaction, Engineering of Interactive Systems, Evaluation of Interactive Systems, Gesture-based Interfaces, Tangible Interfaces;
SR0805CR;FACTAS;EP;principal;Leblond;Juliette;01-09-2021;;Principal;Centre Inria d'Université Côte d'Azur;Centre Inria d'Université Côte d'Azur;Décision signée;01/07/2019;31/12/2026;Analyse fonctionnelle pour la conception et l'analyse de systèmes;Functional Analysis for ConcepTion and Assessment of Systems;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation et contrôle de systèmes dynamiques;Optimization and control of dynamic systems;;;;;;01/01/2018;31/12/2026;12/01/2022;201822627W;;12457-C, 13226-P, 13633-P, 13644-C, 14984-CR, 14985-N, 15186-P, 15853-P, 16225-P;041158-0;;;
SR0917SR;FAIRPLAY;EP;principal;Loiseau;Patrick;01-03-2022;;Principal;Centre Inria de Saclay;Centre de recherche Inria de Saclay;Décision signée;01/03/2022;28/02/2026;IA coopérative : équité, vie privée, incitations;Coopetitive AI: Fairness, Privacy, Incentives;Mathématiques appliquées, calcul et simulation;Applied Mathematics, Computation and Simulation;Optimisation, apprentissage et méthodes statistiques;Optimization, machine learning and statistical methods;IP-PARIS, CRITEO;Institut Polytechnique de Paris, Criteo;INSHS;CREST [EC. POLYTECHNIQUE, CNRS, IP-PARIS];Centre de Recherche en Economie et Stastistique;01/03/2022;28/02/2026;;202224251U;;15324-C;111101-0;;machine learning, game theory, fairness, privacy;
