Siid;Sigle;Type;Principale;Nom du responsable;Prénom du responsable;Date début fonction;Date fin fonction;Type fonction;CRI;Site;Statut actuel;Date début statut actuel;Date fin statut actuel;Libellé français;Libellé anglais;Domaine français;Domaine anglais;Thème français;Thème anglais;Partenaires (sigles);Partenaires (libellés);Institut(s) CNRS impliqué(s);Laboratoires (sigles);Laboratoires (libellés);Date de création;Date d'arrêt;Dates d'évaluations;Num. national;idHAL;Décisions INRIA;Code structure;Mots clés (français);Mots clés (anglais);
"SR0221NR";"COQ";"EP";principal;"Paulin";"Christine";"";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"31/12/2000";"";"Spécifications et preuves de programmes";"Formal Specifications and Program Validation";"Génie logiciel et calcul symbolique";"Software engineering and symbolic computing";"Sémantique et programmation";"Semantics and Programming";"";"";"";"";"";"01/01/1993";"31/12/2000";"";"199322064T";"";"";"";"typage,logique,calcul formel,lambda-calcul,langage fonctionnel,spécification formelle,preuve de programme,synthèse de programme,déduction automatique,protocole sécuris&eacu";"typing,logic,lambda-calculus,functional language,formal computing,formal  specifications,automated deduction,program synthesis,program validation,secure network protocols";
"SR0222HR";"CORDIAL";"EP";principal;"Miclet";"Laurent";"";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"31/12/2006";"";"Dialogue oral homme-machine";"Human-machine spoken dialogue";"Systèmes cognitifs";"Cognitive systems";"Données multi-media : interprétation et interaction homme-machine";"Multimedia data: interpretation and man-machine interaction";"";"";"";"";"";"01/01/2002";"31/12/2006";"";"200221387T";"";"5308-P";"";"Communication homme-machine, Apprentissage automatique, Technologie vocale : reconnaissance et synthèse de la parole.";"Man machine communication, Machine learning, Speech technology: speech recognition and synthesis";
"SR0051GR";"CORIDA";"EP";principal;"Tucsnak";"Marius";"01-10-2002";"31-12-2013";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"31/12/2013";"";"Contrôle robuste infini-dimensionnel et applications";"Robust control of infinite dimensional systems and applications";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Modélisation, optimisation et contrôle de systèmes dynamiques";"Modeling, Optimization, and Control of Dynamic Systems";"CNRS, U. DE LORRAINE";"CNRS, Université de Lorraine";"";"IECL [CNRS, U. DE LORRAINE]";"Institut Elie Cartan de Lorraine (IECL)";"01/10/2002";"31/12/2013";"19/03/2009, 26/03/2013";"200218300M";"";"3739-C, 4855-P, 6585-P, 7010-P, 9860-F";"051009-0";"contrôle, équations aux dérivées partielles";"control, partial differential equations";
"SR0051GR";"CORIDA";"EP";;"Tucsnak";"Marius";"";"";"Principal";"Centre Inria de l'Université de Lorraine";"Metz";"Terminée";"31/12/2013";"";"Contrôle robuste infini-dimensionnel et applications";"Robust control of infinite dimensional systems and applications";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Modélisation, optimisation et contrôle de systèmes dynamiques";"Modeling, Optimization, and Control of Dynamic Systems";"CNRS, U. DE LORRAINE";"CNRS, Université de Lorraine";"";"IECL [CNRS, U. DE LORRAINE]";"Institut Elie Cartan de Lorraine (IECL)";"01/10/2002";"31/12/2013";"19/03/2009, 26/03/2013";"200218300M";"";"3739-C, 4855-P, 6585-P, 7010-P, 9860-F";"051009-0";"contrôle, équations aux dérivées partielles";"control, partial differential equations";
"SR0617DR";"CORIDA";"Equipe";principal;"Tucsnak";"Marius";"01-01-2014";"02-01-2015";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"02/01/2015";"";"Contrôle robuste infini-dimensionnel et applications";"Robust control of infinite dimensional systems and applications";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Optimisation et contrôle de systèmes dynamiques";"Optimization and control of dynamic systems";"";"";"";"";"";"01/01/2014";"02/01/2015";"19/03/2009, 26/03/2013";"200218300M";"";"9819-C, 10549-P, 10838-F";"051009-0";"contrôle, équations aux dérivées partielles";"control, partial differential equations";
"SR0617DR";"CORIDA";"Equipe";;;;;;;"Centre Inria de l'Université de Lorraine";"Metz";"Terminée";"02/01/2015";"";"Contrôle robuste infini-dimensionnel et applications";"Robust control of infinite dimensional systems and applications";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Optimisation et contrôle de systèmes dynamiques";"Optimization and control of dynamic systems";"";"";"";"";"";"01/01/2014";"02/01/2015";"19/03/2009, 26/03/2013";"200218300M";"";"9819-C, 10549-P, 10838-F";"";"contrôle, équations aux dérivées partielles";"control, partial differential equations";
"SR0659SR";"CORSE";"Equipe";principal;"Rastello";"Fabrice";"01-11-2014";"31-10-2015";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Centre de recherche Inria de l'Université Grenoble Alpes";"Terminée";"01/07/2016";"";"compiler optimization and run-time systems";"compiler optimization and run-time systems";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Architecture, langages et compilation";"Architecture, Languages and Compilation";"GRENOBLE INP, UJF (GRENOBLE)";"Institut polytechnique de Grenoble, Université Joseph Fourier (Grenoble)";"";"LIG [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)]";"Laboratoire d'Informatique de Grenoble (LIG)";"01/11/2014";"01/07/2016";"";"201421151J";"";"10452-C, 11180-P, 11791-F";"071120-1";"optimisation de compilation, systèmes de support à l?exécution, gestion mémoire, calcul haute performance, basse consommation, parallélisme au niveau des instructions, parallélisme de tâches, débogage, instrumentation";"compiler optimization, run-time systems, memory management, high-performance computing, energy consumption, instruction level parallelism, thread level parallelism, debugging, monitoring";
"SR0744PR";"CORSE";"EP";principal;"Rastello";"Fabrice";"01-07-2016";"";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Antenne Inria Grenoble - MINATEC";"Décision signée";"01/07/2016";"31/12/2025";"Compiler Optimization and Run-time SystEms";"Compiler Optimization and Run-time SystEms";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Architecture, langages et compilation";"Architecture, Languages and Compilation";"UGA";"Université de Grenoble Alpes";"INS2I";"LIG [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)]";"Laboratoire d'Informatique de Grenoble (LIG)";"01/07/2016";"31/12/2025";"19/03/2020";"201421151J";"";"11678-C, 14582-P, 15177-P";"071120-2";"optimisation de compilation, systèmes de support à l?exécution, gestion mémoire, calcul haute performance, basse consommation, parallélisme au niveau des instructions, parallélisme de tâches, débogage, instrumentation";"compiler optimization, run-time systems, memory management, high-performance computing, energy consumption, instruction level parallelism, thread level parallelism, debugging, monitoring";
"SR0040VR";"CORTEX";"EP";principal;"Girau";"Bernard";"01-04-2012";"31-12-2012";"Par intérim";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"31/12/2012";"";"Intelligence neuromimétique";"Neuromimetic intelligence";"STIC pour les sciences de la vie et de l'environnement ";"Computational Sciences for Biology, Medicine and the Environment";"Images, modèles et algorithmes pour la médecine et les neurosciences";"Computational Medicine and Neurosciences";"CNRS, U. DE LORRAINE";"CNRS, Université de Lorraine";"";"LORIA [CNRS, INRIA]";"Laboratoire lorrain de recherche en informatique et ses applications (LORIA)";"01/01/1997";"31/12/2012";"07/10/2009";"200018289J";"";"3620-P, 6567-P, 7387-P, 8558-CR, 8559-N, 9119-F";"051010-0";"connexionnisme,réseaux neuromimétiques,interaction perception/action,apprentissage par renforcement,modèle symbolique-connexionniste,intelligence artificielle,psychologie cognitiv";"connectionism,neural networks,action/perception interaction,reinforcement learning,neuro-symbolic integration,artificial intelligence,cognitive phychology,knowledge representation,signal interpretatio";
"SR0556WR";"CORTEX";"Equipe";principal;"Girau";"Bernard";"01-01-2013";"";"Principal";"Centre Inria de l'Université de Lorraine";"Centre Inria de l'Université de Lorraine";"Terminée";"30/06/2013";"";"Intelligence neuromimétique";"Neuromimetic intelligence";"STIC pour les sciences de la vie et de l'environnement ";"Computational Sciences for Biology, Medicine and the Environment";"Images, modèles et algorithmes pour la médecine et les neurosciences";"Computational Medicine and Neurosciences";"CNRS, U. DE LORRAINE";"CNRS, Université de Lorraine";"";"LORIA [CNRS, INRIA]";"Laboratoire lorrain de recherche en informatique et ses applications (LORIA)";"01/01/2013";"30/06/2013";"07/10/2009";"200018289J";"";"9055-C";"051010-0";"connexionnisme,réseaux neuromimétiques,interaction perception/action,apprentissage par renforcement,modèle symbolique-connexionniste,intelligence artificielle,psychologie cognitiv";"connectionism,neural networks,action/perception interaction,reinforcement learning,neuro-symbolic integration,artificial intelligence,cognitive phychology,knowledge representation,signal interpretatio";
"SR0223HR";"COSI";"EP";principal;"Rajopadhye";"Sanjay";"";"";"Principal";"Centre Inria de l'Université de Rennes";"Centre Inria de l'Université de Rennes";"Terminée";"30/06/2002";"";"Conception de systèmes sur silicium";"Codesign of Silicon Systems";"Réseaux et systèmes";"Networks and systems";"Architectures et systèmes";"Architectures and Systems";"";"";"";"";"";"01/01/1998";"30/06/2002";"";"199821426C";"";"";"";"architecture parallèle,architecture systolique,vlsi,asic,cao,simulation d'architecture,synthèse d'architecture,génome,traitement du signal vidéo";"parallel architecture,systolic architecture,vlsi,asic,cad/cam,architecture  simulation,architecture synthesis,genome,video signal processing";
"SR0331TR";"COSIVIE";"Equipe";principal;"El dabaghi";"Fadi";"";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"31/12/2005";"";"COuplage de modèles pour la SImulation numérique pour des problématiques enVIronnementalEs";"COupling of models for the numerical SImulation in enVIronmEntal problems";"Systèmes numériques";"Numerical systems";"Optimisation et problèmes inverses en stochastique ou en grande dimension";"Optimisation and inverse problems for stochastic or large-scale systems";"";"";"";"";"";"01/01/2005";"31/12/2005";"";"200521486M";"";"4812-F";"";"modélisation et simulation numérique,couplage,environnement,ressources en eau,bassins versants,milieux poreux,ecoulements de rivières,ecoulements poly-phasiques,calcul parall&egra";"numerical modeling and simulation,coupling,environment,water resources,watersheds,porous media,rivers dynamics,poly-phase flows,parallel computing,grid generation,integrated information systems,robust";
"SR0886CR";"COSMIQ";"EP";principal;"Tillich";"Jean-pierre";"01-12-2019";"";"Principal";"Centre Inria de Paris";"Centre de recherche Inria de Paris";"Décision signée";"01/12/2019";"31/12/2024";"Cryptologie syme?trique, cryptologie fonde?e sur les codes et information quantique";"Code-based Cryptology, Symmetric Cryptology and Quantum Information";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul formel et cryptologie";"Algorithmics, Computer Algebra and Cryptology";"";"";"";"";"";"01/12/2019";"31/12/2024";"";"201923488C";"";"13957-C, 16661-P, 17000-P";"021157-0";"cryptographie symétrique, cryptographie fondée sur les codes, cryptanalyse classique et quantique, cryptographie quantique et post-quantique, algorithmique quantique, information quantique, algorithmique quantique, codes correcteurs quantiques";"symmetric cryptography, code-based cryptography, classical and quantum cryptanalysis, quantum and post-quantum cryptography,  quantum algorithms,  quantum information,  quantum error correcting codes";
"SR0391TR";"COSTEAM";"Equipe";principal;"Rezg";"Nidhal";"";"";"Principal";"Centre Inria de l'Université de Lorraine";"Metz";"Terminée";"31/12/2010";"";"Conduite sûre et optimale de systèmes de production des biens et des services";"Optimal and secure management of manufacturing systems";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Modélisation, optimisation et contrôle de systèmes dynamiques";"Modeling, Optimization, and Control of Dynamic Systems";"";"";"";"";"";"01/10/2007";"31/12/2010";"";"200721189F";"";"6019-C, 6503-P, 7056-P";"051017-0";"";"";
"SR0332JR";"CQFD";"EP";principal;"Dufour";"Francois";"01-01-2009";"";"Principal";"Centre Inria de l'université de Bordeaux";"Centre Inria de l'université de Bordeaux";"Terminée";"31/12/2020";"";"Contrôle de Qualité et Fiabilité Dynamique";"Quality control and dynamic reliability";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Approches stochastiques";"Stochastic approaches";"CNRS, U. DE BORDEAUX";"CNRS, Université de Bordeaux";"INSMI";"IMB [CNRS, U. DE BORDEAUX, BORDEAUX INP]";"Institut de Mathématiques de Bordeaux (IMB)";"01/01/2009";"31/12/2020";"17/03/2010, 20/03/2014, 15/03/2018";"200718997Y";"";"6684-C, 7622-P, 8030-P, 10542-P, 13245-P, 14575-P, 14641-F";"091016-1";"Modélisation paramétrique et semi-paramétrique; Analyse de données multivariées; Réduction de dimension; Chaîne de Markov; Processus markovien déterministes par morceaux; Processus markoviens décisionnels; Contrôle optimal stochastique.";"Markov chain; Piecewise Deterministic Markov Processes, Markov Decision Processes; Dimension Reduction Models; Stochastic control; semi parametric and non parametric modeling; multivariate data analysis.";
"SR0224GR";"CRISTAL";"EP";principal;"Leroy";"Xavier";"";"";"Principal";"Centre Inria de Paris";"Rocquencourt";"Terminée";"31/07/2005";"";"Programmation typée, modularité et compilation";"Typed programming, modularity and compilation";"Systèmes symboliques";"Symbolic systems";"Sécurité et fiabilité du logiciel";"Reliability and safety of software";"";"";"";"";"";"01/01/1993";"31/07/2005";"";"199321505K";"2416";"3769-M";"";"compilation,compilation séparée,environnement de programmation,génie logiciel,génération de code,lambda-calcul,programmation fonctionnelle,typage";"compilation,separate compilation,programming environment,software engineering,code generation,lambda-calculus,functional programming,typing";
"SR0225QR";"CROAP";"EP";principal;"Bertot";"Yves";"";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"31/12/1998";"";"Conception et réalisation d'outils d'aide à la programmation";"Design and Implementation of Programming Tools";"Génie logiciel et calcul symbolique";"Software engineering and symbolic computing";"Sémantique et programmation";"Semantics and Programming";"";"";"";"";"";"01/01/1986";"31/12/1998";"";"198622135A";"";"";"";"environnement de programmation,génie logiciel,architecture répartie,programmation,sémantique,sémantique naturelle,prolog,centaur";"programming environments,software engineering,distributed architecture,programming,semantics,natural semantics,prolog,logic programming,centaur";
"SR0931XR";"CRONOS";"EP";principal;"Papadopoulo";"Theodore";"01-12-2022";"";"Principal";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Décision signée";"01/12/2022";"30/11/2026";"Modélisation des résaux dynamiques cérébraux";"Computational modelling of brain dynamical networks";"Santé, biologie et planète numériques";"Digital Health, Biology and Earth";"Neurosciences et médecine numériques";"Computational Neuroscience and Medicine";"";"";"";"";"";"01/12/2022";"30/11/2026";"";"202224368W";"";"15821-C";"041171-0";"Imagerie médicale, Réseaux cérébraux dynamiques, Neuroimagerie computationnelle, Fonctionnelle et structurelle Neuroimagerie naturelle, Problèmes directs et inverses, Matrices de connectivité, Invariants et statistiques, Classification, interfaces cerveau-ordinateur.";"Medical imaging, Dynamic brain networks, Computational neuroimaging, Functional and structural neuroimaging, Forward and inverse problems, Connectivity matrices, Invariants and statistics, Classification, Brain Computer Interfaces.";
"SR0528ER";"CRYPT";"Equipe";principal;"Nguyen";"Phong-quang";"01-07-2012";"31-08-2013";"Principal";"Siège";"Institute of Automation - LIAMA";"Terminée";"31/08/2015";"";"Cryptanalyse";"Cryptanalyse";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul formel et cryptologie";"Algorithmics, Computer Algebra and Cryptology";"";"";"";"";"";"01/07/2012";"31/08/2015";"";"201221049G";"";"8825-C, 8826-N, 9594-P, 10347-P";"021118-0";"";"";
"SR0611GR";"CTRL-A";"Equipe";principal;"Rutten";"Eric";"01-01-2014";"30-06-2016";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Antenne Inria Grenoble - MINATEC";"Terminée";"31/05/2017";"";"Automatique pour l'informatique autonomique";"Control techniques for Autonomic, adaptive and Reconfigurable Computing systems";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Systèmes distribués et intergiciels";"Distributed Systems and middleware";"GRENOBLE INP, UGA";"Institut polytechnique de Grenoble, Université de Grenoble Alpes";"";"LIG [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)]";"Laboratoire d'Informatique de Grenoble (LIG)";"01/01/2014";"31/05/2017";"";"201421117X";"";"9795-C, 11279-P, 11662-P, 12120-P";"071119-0";"";"";
"SR0789GR";"CTRL-A";"EP";principal;"Rutten";"Eric";"01-06-2017";"";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Antenne Inria Grenoble - MINATEC";"Décision signée";"01/06/2017";"30/06/2026";"Commande pour systèmes informatiques autonomiques";"Control for safe Autonomic computing systems";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Systèmes distribués et intergiciels";"Distributed Systems and middleware";"UGA";"Université de Grenoble Alpes";"INS2I";"LIG [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)]";"Laboratoire d'Informatique de Grenoble (LIG)";"01/06/2017";"30/06/2026";"07/10/2021";"201421117X";"";"12247-C, 14890-P, 15700-P";"071119-1";"Calcul Autonomique, systèmes auto-adaptatifs, architectures reconfigurables, contrôle.";"Autonomic Computing, self-adaptive systems, reconfigurable architectures, control";
"SR0226ER";"DAHU";"EP";principal;"Segoufin";"Luc";"01-01-2009";"31-12-2016";"Principal";"Centre Inria de Saclay";"ENS Cachan - Laboratoire Spécification et Vérification (LSV)";"Terminée";"31/12/2017";"";"Verification en bases de données";"Verification in databases";"Perception, Cognition, Interaction";"Perception, Cognition and Interaction";"Représentation et traitement des données et des connaissances";"Data and Knowledge Representation and Processing";"CNRS, ENS CACHAN";"CNRS, Ecole normale supérieure de Cachan";"";"LSV [ENS CACHAN, CNRS]";"Laboratoire specification et vérification (LSV)";"01/01/2009";"31/12/2017";"11/10/2011, 07/10/2015";"200818998V";"";"6674-C, 8929-P, 11684-P, 12628-F";"111019-1";"Vérification, bases de données";"Verification, databases";
"SR0904ZR";"DANCE";"EP";principal;"Frasca";"Paolo";"01-02-2021";"";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Centre de recherche Inria de l'Université Grenoble Alpes";"Décision signée";"01/02/2021";"31/12/2026";"Dynamique et contro?le des re?seaux";"Dynamics and Control of Networks";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Optimisation et contrôle de systèmes dynamiques";"Optimization and control of dynamic systems";"UGA, CNRS";"Université de Grenoble Alpes, CNRS";"INS2I";"GIPSA-LAB [UJF (GRENOBLE), GRENOBLE INP, CNRS, U. GRENOBLE 3]";"Grenoble Image Parole Signal Automatique (GIPSA)";"01/02/2021";"31/12/2026";"12/01/2022";"202123950W";"";"14671-C, 15853-P, 16225-P";"071139-0";"Automatique; Réseaux; Mobilité";"Automatic Control; Networks; Smart transportation; Network dynamics";
"SR0531FR";"DANTE";"Equipe";principal;"Fleury";"Eric";"01-11-2012";"31-10-2013";" (Non renseigné)";"Centre Inria de Lyon";"Ecole normale supérieure de Lyon - Laboratoire de l'Informatique du Parallélisme (LIP)";"Terminée";"28/02/2015";"";"Réseaux dynamiques : approche structurelle et temporelle";"Dynamic Networks : Temporal and Structural Capture Approach";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Réseaux et télécommunications";"Networks and Telecommunications";"ENS LYON, CNRS, U. LYON 1 (UCBL)";"Ecole normale supérieure de Lyon, CNRS, Université Claude Bernard (Lyon 1)";"";"LIP [U. LYON 1 (UCBL), ENS LYON, CNRS, INRIA]";"Laboratoire de l'Informatique du Parallélisme (LIP)";"01/11/2012";"28/02/2015";"";"201221055N";"";"8908-C, 9650-P, 10454-P";"071111-0";"Science des réseaux, théorie des graphes, traitement du signal, algorithmique distribuée";"network science, graph theory, signal processing, distributed algorithms";
"SR0687IR";"DANTE";"EP";principal;"Gribonval";"Remi";"01-10-2021";"";"Principal";"Centre Inria de Lyon";"Ecole normale supérieure de Lyon - Laboratoire de l'Informatique du Parallélisme (LIP)";"Terminée";"28/02/2023";"";"Réseaux dynamiques : approche structurelle et temporelle";"Dynamic Networks : Temporal and Structural Capture Approach";"Mathématiques appliquées, calcul et simulation";"Applied Mathematics, Computation and Simulation";"Optimisation, apprentissage et méthodes statistiques";"Optimization, machine learning and statistical methods";"U. LYON 1 (UCBL), ENS LYON";"Université Claude Bernard (Lyon 1), Ecole normale supérieure de Lyon";"INS2I";"LIP [U. LYON 1 (UCBL), ENS LYON, CNRS, INRIA]";"Laboratoire de l'Informatique du Parallélisme (LIP)";"01/01/2015";"28/02/2023";"23/03/2016, 17/03/2020";"201221055N";"";"10632-C, 11955-P, 12763-CR, 12764-N, 14583-P, 15184-P, 15188-M, 16103-F";"121021-0";"Optimisation, Traitement du Signal, Apprentissage Statistique, Problèmes Inverses, Graphes, Parcimonie";"Optimization, Signal Processing, Statistical Learning, Inverse Problems, Graphs, Sparsity";
"SR0036DR";"DART";"EP";principal;"Dekeyser";"Jean-luc";"";"";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Terminée";"31/12/2011";"";"Apports du parallélisme données au temps réel";"Contributions of the Data Parallelism to Real Time";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Systèmes embarqués et temps réel";"Embedded and Real Time Systems";"U. LILLE 1 (USTL), CNRS";"Université des sciences et technologies de Lille (Lille 1), CNRS";"";"LIFL [U. LILLE 1 (USTL), CNRS, U. LILLE 3 (UCDG)]";"Laboratoire d'informatique fondamentale de Lille (LIFL)";"02/09/2004";"31/12/2011";"";"200418285M";"";"4341-C, 6176-P, 6246-R, 8372-F";"101013-0";"traitement de signal intensif, MARTE, parallélisme, parallélisme de données, modélisation, UML, transformations de modèles, MDE, placement, ordonnancement, optimisation, temps réél, simulation, systè";"intensive signal processing, MARTE, parallelism, data parallelism modeling, UML, model tranformation, MDE, mapping, scheduling, optimization, real time, simulation, System-on-Chip, SoC, SystemC";
"SR0483ZR";"DART";"Equipe";principal;"Rusu";"Vlad";"01-01-2012";"31-12-2012";"Principal";"Centre Inria de l'Université de Lille";"Centre Inria de l'Université de Lille";"Terminée";"31/12/2012";"";"Apports du parallélisme données au temps réel";"contributions of the Data parallelism to real time";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Systèmes embarqués et temps réel";"Embedded and Real Time Systems";"CNRS, U. LILLE 1 (USTL)";"CNRS, Université des sciences et technologies de Lille (Lille 1)";"";"LIFL [U. LILLE 1 (USTL), CNRS, U. LILLE 3 (UCDG)]";"Laboratoire d'informatique fondamentale de Lille (LIFL)";"01/01/2012";"31/12/2012";"";"200418285M";"";"8386-C";"101013-0";"";"";
"SR0718BR";"DATAMOVE";"Equipe";principal;"Raffin";"Bruno";"01-01-2016";"31-12-2016";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Laboratoire LIG- Bâtiment IMAG";"Terminée";"31/10/2017";"";"Data Aware Large Scale Computing";"Data Aware Large Scale Computing";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Calcul distribué et à haute performance";"Distributed and High Performance Computing";"CNRS, GRENOBLE INP, UGA";"CNRS, Institut polytechnique de Grenoble, Université de Grenoble Alpes";"";"LIG [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)]";"Laboratoire d'Informatique de Grenoble (LIG)";"01/01/2016";"31/10/2017";"";"201622038P";"";"11298-C, 11914-P, 12256-P";"071125-0";"Exascale;  Calcul Haute Performance; Algorithmes Parallèles; Ordonnancement; Optimisation Multiobjectif; Intergiciels; Gestionnaires de Tâches; Traitement de Données Haute Performance.";"Exascale;  High Performance Computing;  Parallel Algorithms;  Scheduling; Multiobjective Optimization; Middleware; Batch Scheduler;  High Performance Data Analytics;";
"SR0799BR";"DATAMOVE";"EP";principal;"Raffin";"Bruno";"01-11-2017";"";"Principal";"Centre Inria de l'Université Grenoble Alpes";"Laboratoire LIG- Bâtiment IMAG";"Décision signée";"01/11/2017";"30/06/2026";"Mouvements de données pour le calcul haute performance";"Data Aware Large Scale Computing";"Réseaux, systèmes et services, calcul distribué";"Networks, Systems and Services, Distributed Computing";"Calcul distribué et à haute performance";"Distributed and High Performance Computing";"UGA, CNRS";"Université de Grenoble Alpes, CNRS";"INS2I";"LIG [UJF (GRENOBLE), GRENOBLE INP, CNRS, UPMF (GRENOBLE)]";"Laboratoire d'Informatique de Grenoble (LIG)";"01/11/2017";"30/06/2026";"07/10/2021";"201622038P";"";"12450-C, 14888-P, 15701-P";"071125-1";"";"";
"SR0726XR";"DATASHAPE";"Equipe";principal;"Chazal";"Frederic";"01-01-2016";"";"Principal";"Centre Inria de Saclay";"Centre de recherche Inria de Saclay";"Terminée";"01/07/2017";"";"Understanding the Shape of Data";"Understanding the Shape of Data";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul formel et cryptologie";"Algorithmics, Computer Algebra and Cryptology";"";"";"";"";"";"01/01/2016";"01/07/2017";"";"201622050C";"";"11384-C, 11919-P, 12290-P, 12303-F";"111076-0";"Analyse Topologique des Données, topologie algorithmique, géométrie algorithmique, statistique, algorithmes";"Topological Data Analysis, Computational Topology, Computational Geometry, Statistics, algorithms";
"SR0726XR";"DATASHAPE";"Equipe";;;;;;;"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Terminée";"01/07/2017";"";"Understanding the Shape of Data";"Understanding the Shape of Data";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul formel et cryptologie";"Algorithmics, Computer Algebra and Cryptology";"";"";"";"";"";"01/01/2016";"01/07/2017";"";"201622050C";"";"11384-C, 11919-P, 12290-P, 12303-F";"041153-0";"Analyse Topologique des Données, topologie algorithmique, géométrie algorithmique, statistique, algorithmes";"Topological Data Analysis, Computational Topology, Computational Geometry, Statistics, algorithms";
"SR0792FR";"DATASHAPE";"EP";principal;"Chazal";"Frederic";"01-10-2020";"";"Principal";"Centre Inria de Saclay";"UP Saclay - Laboratoire de Mathématiques d'Orsay (LMO)";"Décision signée";"01/10/2020";"31/12/2024";"Comprendre la forme des données";"Understanding the shape of data";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul formel et cryptologie";"Algorithmics, Computer Algebra and Cryptology";"UNIV. PARIS-SACLAY, CNRS";"Université Paris-Saclay, CNRS";"INSMI";"LMO [U. PARIS 11 (P.-SUD), CNRS]";"Laboratoire de mathématiques d'Orsay de l'Université de Paris-Sud (LMO)";"01/07/2017";"31/12/2024";"19/03/2019";"201622050C";"";"12237-C, 14024-P, 14469-C, 14538-B, 16661-P, 17000-P";"111076-1";"Analyse Topologique des données, géométrie algorithmique, topologie algorithmique";"Topological Data Analysis, computational geometry, computational topology";
"SR0792FR";"DATASHAPE";"EP";;"Cohen-steiner";"David";"01-10-2020";"";" (Non renseigné)";"Centre Inria d'Université Côte d'Azur";"Centre Inria d'Université Côte d'Azur";"Décision signée";"01/10/2020";"31/12/2024";"Comprendre la forme des données";"Understanding the shape of data";"Algorithmique, programmation, logiciels et architectures";"Algorithmics, Programming, Software and Architecture";"Algorithmique, calcul formel et cryptologie";"Algorithmics, Computer Algebra and Cryptology";"UNIV. PARIS-SACLAY, CNRS";"Université Paris-Saclay, CNRS";"INSMI";"LMO [U. PARIS 11 (P.-SUD), CNRS]";"Laboratoire de mathématiques d'Orsay de l'Université de Paris-Sud (LMO)";"01/07/2017";"31/12/2024";"19/03/2019";"201622050C";"";"12237-C, 14024-P, 14469-C, 14538-B, 16661-P, 17000-P";"041153-1";"Analyse Topologique des données, géométrie algorithmique, topologie algorithmique";"Topological Data Analysis, computational geometry, computational topology";
